house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
4350000,4595000,-245000,6,109,109,840,1964,39050,2024-10-25,Käglinge,55.533464,13.0774130818485,0,10,2024
7550000,6995000,555000,6,165,0,656,2004,45094,2024-10-24,Riseberga,55.59670475,13.0894460840572,1,10,2024
4850000,4995000,-145000,3,83,0,124,1906,49243,2024-10-24,Limhamn,60.15264165,15.1896334545432,1,10,2024
5550000,5490000,60000,6,175,28,718,1974,52663,2024-10-23,Tygelsjö,55.5139123,13.0043263,0,10,2024
4150000,3990000,160000,5,134,83,572,1974,39543,2024-10-23,Kastanjegården,55.5554036,13.02325205,0,10,2024
4500000,4795000,-295000,6,170,85,666,1943,43000,2024-10-23,Rosengård,55.57836975,13.0449818162231,0,10,2024
5500000,5495000,5000,3,101,106,589,1962,48688,2024-10-22,Djupadal,55.57261085,12.9495005304438,0,10,2024
12900000,13475000,-575000,6,170,90,807,1963,37980,2024-10-22,Sjösida,55.58959915,12.9568316350956,0,10,2024
6800000,6975000,-175000,4,135,0,624,2008,29200,2024-10-22,Bunkeflostrand,55.5518738,12.9299077,1,10,2024
3150000,3195000,-45000,6,130,0,503,1972,38887,2024-10-21,Kyrkby,55.54622825,13.1048658954334,1,10,2024
8995000,8995000,0,6,240,23,1557,2005,46000,2024-10-20,Skumparp,55.5372407,12.9632802,0,10,2024
4450000,4095000,355000,5,122,68,807,1937,38745,2024-10-19,Kattarp,55.57881145,13.03954255,0,10,2024
6500000,6450000,50000,4,75,12,208,1909,36068,2024-10-16,Limhamn,55.583826,12.9258858,0,10,2024
5450000,5495000,-45000,6,182,0,662,1975,46794,2024-10-15,Videdal,55.5944512,13.0583535734754,1,10,2024
3100000,2795000,305000,4,85,56,638,1932,44549,2024-10-15,Gullvik,58.3738835,12.3465024,0,10,2024
6350000,6750000,-400000,6,177,0,326,1969,39700,2024-10-15,Bunkeflostrand,59.3233246,18.41078875,1,10,2024
6500000,6590000,-90000,4,135,40,380,1965,35060,2024-10-15,Djupadal,55.57315265,12.9568030374333,0,10,2024
3350000,3495000,-145000,3,85,0,681,1959,34600,2024-10-14,Riseberga,55.597853,13.0847958,1,10,2024
5250000,4995000,255000,5,160,0,741,1992,51842,2024-10-11,Stenkällan,55.58428315,13.070501005209,1,10,2024
7100000,6995000,105000,5,155,5,389,1967,49237,2024-10-11,Djupadal,55.57035435,12.9662830672733,0,10,2024
7500000,7495000,5000,6,174,24,645,1981,26017,2024-10-10,Sibbarp,55.57200075,12.92243975,0,10,2024
9000000,9475000,-475000,7,150,20,372,2005,44000,2024-10-09,Sibbarp,55.57498745,12.9218485572783,0,10,2024
4900000,5295000,-395000,4,109,0,410,1939,38500,2024-10-09,Bunkeflostrand,55.56182925,12.9144536234205,1,10,2024
4450000,4395000,55000,4,92,42,608,1960,30949,2024-10-08,Videdal,55.5937336,13.0612493,0,10,2024
4550000,4795000,-245000,5,136,53,471,2008,27600,2024-10-04,Kristineberg,55.54632585,13.0845957664311,0,10,2024
6130000,5295000,835000,5,125,0,450,1923,38300,2024-10-04,Johanneslust,55.6008514,13.04818295,1,10,2024
5850000,6195000,-345000,6,140,0,341,1971,41138,2024-10-03,Hyllieby,59.3807293,17.9158462,1,10,2024
6800000,6995000,-195000,6,181,110,800,1965,51074,2024-10-03,Kulladal,55.57166895,12.9908747118546,0,10,2024
5010000,4495000,515000,5,110,65,1002,1924,33400,2024-10-03,Virentofta,55.5877009,13.0765314,0,10,2024
9000000,9500000,-500000,5,145,41,600,1927,63144,2024-10-02,Limhamn,55.57423455,12.9396228954355,0,10,2024
5020000,4300000,720000,5,101,70,750,1954,48200,2024-10-02,Djupadal,55.57659725,12.9567867157968,0,10,2024
7075000,7250000,-175000,8,203,45,807,1893,34700,2024-10-02,Bunkeflostrand,55.5583233,12.9190044,0,10,2024
4400000,3995000,405000,5,124,25,553,1968,42800,2024-09-30,Husie,55.60314245,13.0850806380894,0,9,2024
10050000,9875000,175000,6,155,89,850,1958,46859,2024-09-30,Limhamn,55.5805121,12.924457,0,9,2024
9800000,7995000,1805000,5,138,58,888,1939,62670,2024-09-27,Bellevue,59.278969,18.0434759,0,9,2024
4045000,3995000,50000,5,132,90,587,1965,42200,2024-09-27,Husie,55.5867666,13.0650896019667,0,9,2024
4325000,4595000,-270000,3,93,29,610,1960,44507,2024-09-25,Riseberga,55.60313225,13.0826738785261,0,9,2024
