house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
17200000,8,255,169,1996,1955,58800,2021-10-14,Sjösida,55.58921785,12.9513085938154,0,10,2021
5500000,7,118,118,541,1969,32900,2021-10-05,Villastad,55.5769504,13.07223005,0,10,2021
5000000,6,134,83,693,1974,28270,2021-10-01,Kastanjegården,55.5548075,13.02325995,0,10,2021
6050000,5,130,0,191,2016,22790,2021-09-30,Bunkeflostrand,55.5550187,12.9315818,1,9,2021
5250000,5,135,0,316,1991,30542,2021-09-29,Bunkeflostrand,55.554883,12.9243684,1,9,2021
5650000,4,160,25,969,1912,39881,2021-09-29,Klagshamn,55.52317855,12.930009795236,0,9,2021
5600000,6,184,77,1089,1928,38300,2021-09-29,Kvarnby,55.58776215,13.0899933558384,0,9,2021
7250000,6,182,28,595,1982,52579,2021-09-27,Sibbarp,55.5722296,12.9229252,0,9,2021
5420000,5,170,0,587,1975,44668,2021-09-23,Kulladal,55.5681917,12.9947318,1,9,2021
6700000,5,154,39,816,1999,37920,2021-09-21,Tygelsjö,55.5144305,12.998789500000001,0,9,2021
16700000,7,201,130,1150,1920,63000,2021-09-01,Sjösida,55.58998955,12.9554265226529,0,9,2021
7500000,5,120,20,262,1929,49056,2021-09-01,Limhamn,55.5848198,12.9392107,0,9,2021
5600000,3,86,0,893,1926,35913,2021-08-28,Bunkeflostrand,67.16372785,20.615710418682,1,8,2021
7125000,6,131,0,179,1909,38282,2021-08-25,Sofielund,55.58771785,13.0139732,1,8,2021
8800000,5,149,85,824,1928,44952,2021-08-22,Mellanheden,55.58821695,12.9678338789722,0,8,2021
4700000,7,124,143,778,1965,29800,2021-08-18,Kyrkby,55.54967545,13.0989362178975,0,8,2021
